Livello gerarchico più alto;Livello 2;Livello 3;Livello 4;Livello 5;Livello 6;Livello 7;;;
plant;non-legume plant;Amaryllidaceae plant;leek;;;;;;
plant;non-legume plant;Amaryllidaceae plant;garlic;;;;;;
plant;non-legume plant;Liliaceae plant;asparagus;;;;;;
plant;non-legume plant;Rubiaceae plant;coffee;;;;;;
plant;non-legume plant;Cucurbitaceae plant;pumpkin;;;;;;
plant;non-legume plant;Cucurbitaceae plant;watermelon;;;;;;
plant;non-legume plant;Cucurbitaceae plant;melon;;;;;;
plant;non-legume plant;Dioscoreaceae plant;yam;;;;;;
plant;non-legume plant;Convolvulaceae plant;sweet potato;;;;;;
plant;non-legume plant;Convolvulaceae plant;hairy woodrose;;;;;;
plant;non-legume plant;Amaranthaceae plant;beet;;;;;;
plant;non-legume plant;Amaranthaceae plant;common lambsquarter;;;;;;
plant;non-legume plant;Amaranthaceae plant;spinach;;;;;;
plant;non-legume plant;Linaceae plant;flax;;;;;;
plant;non-legume plant;Ciperaceae plant;purple nutsedge;;;;;;
plant;non-legume plant;Portulacaceae plant;common purslane;;;;;;
plant;non-legume plant;Pontederiaceae plant;water hyacinth;;;;;;
plant;non-legume plant;Cannabaceae plant;hemp;;;;;;
plant;non-legume plant;Lythraceae plant;water caltrop;;;;;;
plant;non-legume plant;Caryophyllaceae plant;common chickweed;;;;;;
plant;green manure plant;;;;;;;;
plant;host plant;;;;;;;;
plant;crop plant;;;;;;;;
plant;spontaneous plant;;;;;;;;
plant;medicinal plant;;;;;;;;
plant;allelopathic plant;;;;;;;;
plant;flower plant;;;;;;;;
plant;invasive plant;;;;;;;;
biomass;plant biomass;crop biomass;cover crop biomass;aboveground cover crop biomass;;;;;
biomass;plant biomass;crop biomass;cover crop biomass;green manure biomass;;;;;
biomass;plant biomass;crop biomass;cover crop biomass;catch crop biomass;;;;;
biomass;plant biomass;crop biomass;cover crop biomass;rye biomass;;;;;
biomass;plant biomass;crop biomass;cover crop biomass;vetch biomass;hairy vetch biomass;;;;
biomass;plant biomass;crop biomass;cover crop biomass;clover biomass;;;;;
biomass;plant biomass;crop biomass;wheat biomass;;;;;;
biomass;plant biomass;crop biomass;maize biomass;;;;;;
biomass;plant biomass;crop biomass;legume biomass;vetch biomass;hairy vetch biomass;;;;
biomass;plant biomass;crop biomass;legume biomass;clover biomass;;;;;
biomass;plant biomass;weed biomass;total weed biomass;;;;;;
biomass;plant biomass;weed biomass;roostertree biomass;;;;;;
biomass;plant biomass;litter;leaf litter;;;;;;
biomass;plant biomass;root biomass;;;;;;;
biomass;plant biomass;aboveground biomass;shoot dry matter;;;;;;
biomass;fungal biomass;;;;;;;;
biomass;microbial biomass;soil microbial biomass;;;;;;;
biomass;microbial biomass;total microbial biomass;;;;;;;
biomass;soil biomass;;;;;;;;
biomass;fresh biomass;;;;;;;;
residue;crop residue;straw;rice straw;;;;;;
residue;crop residue;straw;wheat straw;;;;;;
residue;crop residue;straw;barley straw;;;;;;
residue;crop residue;straw;cover crop straw;;;;;;
residue;crop residue;wheat residue;wheat straw;;;;;;
residue;crop residue;rice residue;rice husk;;;;;;
residue;crop residue;maize residue;;;;;;;
residue;crop residue;cover crop residue;buckwheat residue;;;;;;
residue;crop residue;cover crop residue;rye residue;;;;;;
residue;crop residue;cover crop residue;ryegrass residue;;;;;;
residue;crop residue;cover crop residue;oat residue;;;;;;
residue;crop residue;cover crop residue;sunn hemp residue;;;;;;
residue;crop residue;cover crop residue;cowpea residue;;;;;;
residue;crop residue;cover crop residue;vetch residue;hairy vetch residue;;;;;
residue;crop residue;cover crop residue;catch crop residue;;;;;;
residue;crop residue;cover crop residue;green manure residue;;;;;;
residue;crop residue;cover crop residue;winter cover crop residue;;;;;;
residue;crop residue;legume residue;vetch residue;hairy vetch residue;;;;;
residue;crop residue;legume residue;soybean residue;;;;;;
residue;crop residue;legume residue;cowpea residue;;;;;;
residue;crop residue;pruning residue;;;;;;;
residue;root residue;;;;;;;;
residue;shoot residue;;;;;;;;
residue;surface residue;;;;;;;;
residue;gm residue;;;;;;;;
residue;fresh residue;;;;;;;;
residue;herbicide residue;;;;;;;;
fertilizer;chemical fertilizer;N fertilizer;ammonium nitrate;;;;;;
fertilizer;chemical fertilizer;N fertilizer;ammonium sulphate;;;;;;
fertilizer;chemical fertilizer;N fertilizer;diammonium phosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;rock phosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;superphosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;triple superphosphate;;;;;;
fertilizer;chemical fertilizer;P fertilizer;diammonium phosphate;;;;;;
fertilizer;chemical fertilizer;K fertilizer;potassium chloride;;;;;;
fertilizer;chemical fertilizer;NPK fertilizer;;;;;;;
fertilizer;organic fertilizer;manure;animal manure;farmyard manure;compost cattle manure;;;;
fertilizer;organic fertilizer;manure;animal manure;poultry litter;broiler litter;;;;
fertilizer;organic fertilizer;manure;animal manure;chicken manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;pig manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;goat manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;horse manure;;;;;
fertilizer;organic fertilizer;manure;animal manure;sheep manure;;;;;
